,neighbourhood,latitude,longitude,room_type,price
22506,Indre By,55.67121,12.57586,Hotel room,362
22507,Nrrebro,55.69827,12.54689,Entire home/apt,751
22508,sterbro,55.70028000000001,12.58086,Private room,353
22509,Indre By,55.684,12.56371,Entire home/apt,1201
22510,Indre By,55.68044,12.59256,Private room,498
22511,sterbro,55.70192,12.58143,Entire home/apt,1303
22512,Nrrebro,55.69609000000001,12.54954,Entire home/apt,903
22513,Nrrebro,55.70172,12.54349,Entire home/apt,403
22514,Indre By,55.67251,12.57332,Entire home/apt,1494
22515,Nrrebro,55.691,12.55797,Entire home/apt,1032
22516,sterbro,55.70833,12.58556,Entire home/apt,489
22517,Amager st,55.66149,12.61249,Entire home/apt,747
22518,Amager st,55.65491,12.62249,Entire home/apt,998
22519,Nrrebro,55.69919,12.53773,Entire home/apt,652
22520,sterbro,55.70997,12.56454,Entire home/apt,314
22521,Amager Vest,55.62104,12.57374,Entire home/apt,951
22522,Nrrebro,55.68796,12.55575,Entire home/apt,625
22523,Indre By,55.67936,12.58987,Private room,403
22524,Amager st,55.65061,12.63514,Entire home/apt,1303
22525,Amager st,55.65483,12.6183,Entire home/apt,747
22526,sterbro,55.70003000000001,12.58732,Entire home/apt,1602
22527,Frederiksberg,55.68182,12.5373,Private room,348
22528,Amager Vest,55.66014000000001,12.60081,Entire home/apt,828
22529,Nrrebro,55.69758,12.55355,Entire home/apt,648
22530,Bispebjerg,55.71043,12.51781,Entire home/apt,3001
22531,Nrrebro,55.69809,12.54989,Entire home/apt,587
22532,sterbro,55.71309,12.56815,Entire home/apt,1201
22533,sterbro,55.7099,12.56938,Private room,502
22534,Amager Vest,55.61758,12.56849,Private room,401
22535,Indre By,55.69654,12.57839,Entire home/apt,1501
22536,Frederiksberg,55.68258,12.51499,Entire home/apt,903
22537,Nrrebro,55.70083,12.54855,Entire home/apt,903
22538,sterbro,55.7087,12.58703,Entire home/apt,648
22539,Vanlse,55.69582,12.50185,Entire home/apt,348
22540,Amager st,55.6616,12.63334,Private room,300
22541,Nrrebro,55.69058,12.56309,Entire home/apt,798
22542,Frederiksberg,55.68131999999999,12.54646,Entire home/apt,798
22543,Vesterbro-Kongens Enghave,55.66583000000001,12.54807,Entire home/apt,498
22544,Amager Vest,55.66622,12.57797,Entire home/apt,1146
22545,Vesterbro-Kongens Enghave,55.66636999999999,12.54192,Entire home/apt,648
22546,Amager st,55.66444,12.60517,Entire home/apt,498
22547,Nrrebro,55.68971,12.55659,Entire home/apt,801
22548,sterbro,55.71095,12.57753,Entire home/apt,1052
22549,sterbro,55.71074,12.5598,Private room,340
22550,Nrrebro,55.70472,12.54774,Entire home/apt,498
22551,sterbro,55.70312,12.58295,Entire home/apt,1024
22552,Amager st,55.65474,12.61262,Entire home/apt,1202
22553,Bispebjerg,55.70066,12.53604,Entire home/apt,951
22554,Nrrebro,55.6926,12.55091,Entire home/apt,699
22555,Nrrebro,55.69625,12.54301,Entire home/apt,396
22556,sterbro,55.7146,12.57086,Entire home/apt,648
22557,Nrrebro,55.69133000000001,12.55835,Entire home/apt,801
22558,Nrrebro,55.69927,12.54086,Entire home/apt,430
22559,sterbro,55.7045,12.58321,Entire home/apt,849
22560,Amager Vest,55.64324000000001,12.60892,Entire home/apt,849
22561,Bispebjerg,55.69768000000001,12.52793,Entire home/apt,403
22562,sterbro,55.70039000000001,12.58668,Entire home/apt,703
22563,Nrrebro,55.68852,12.55605,Private room,252
22564,Vesterbro-Kongens Enghave,55.66785,12.54759,Entire home/apt,1003
22565,Indre By,55.67349,12.59182,Entire home/apt,4998
22566,Nrrebro,55.69895,12.54358,Entire home/apt,989
22567,Frederiksberg,55.68888000000001,12.52963,Private room,300
22568,Amager Vest,55.66058,12.57359,Entire home/apt,1100
22569,Vanlse,55.69696999999999,12.46878,Private room,1003
22570,Vanlse,55.69716999999999,12.46984,Private room,498
22571,sterbro,55.69996,12.58643,Entire home/apt,957
22572,Frederiksberg,55.67625,12.53996,Entire home/apt,703
22573,Vesterbro-Kongens Enghave,55.65497,12.55152,Entire home/apt,2798
22574,Amager Vest,55.63883000000001,12.59722,Entire home/apt,801
22575,Frederiksberg,55.67227,12.51634,Entire home/apt,751
22576,Indre By,55.69092,12.57309,Entire home/apt,1003
22577,Amager Vest,55.63408,12.57696,Entire home/apt,478
22578,Indre By,55.69788000000001,12.59032,Private room,280
22579,Nrrebro,55.69925,12.53798,Entire home/apt,471
22580,Amager Vest,55.65821999999999,12.59956,Entire home/apt,648
22581,Amager st,55.66189,12.63078,Entire home/apt,998
22582,Amager st,55.66582,12.62465,Entire home/apt,625
22583,Frederiksberg,55.68456,12.54267,Private room,502
22584,Frederiksberg,55.68881999999999,12.53823,Entire home/apt,747
22585,Nrrebro,55.69657,12.54535,Private room,450
22586,Vesterbro-Kongens Enghave,55.6739,12.55126,Private room,403
22587,Brnshj-Husum,55.72109,12.48181,Private room,450
